CODE;PRODUCTO;TIPO_CARROCERIA;COMBUSTIBLE;Potencia_;TRANS;FORMA_PAGO;ESTADO_CIVIL;GENERO;OcupaciOn;PROVINCIA;Campanna1;Campanna2;Campanna3;Zona _Renta;REV_Garantia;Averia_grave;QUEJA_CAC;COSTE_VENTA;km_anno;Revisiones;Edad Cliente
CLIN6880;D;TIPO6;FUEL 1;Alta;A;Contado;CASADO;M;Autonomo;Alicante;SI;NO;NO;Medio-Bajo;SI;Averia grave;NO;2868;19985;3;55
CLIN6881;D;TIPO6;FUEL 1;Alta;A;Otros;CASADO;M;Empresa;Lugo;SI;NO;NO;Medio-Bajo;SI;Averia grave;SI;2868;16076;2;59
CLIN6882;D;TIPO6;FUEL 1;Media;M;Otros;CASADO;M;Autonomo;Cordoba;NO;NO;NO;Alto;NO DATA;No;NO;2918;0;4;68
CLIN6883;D;TIPO6;FUEL 1;Media;M;Financiera Marca;CASADO;M;Empresa;Vizcaya;SI;NO;NO;Medio;SI;Averia grave;NO;7054;6530;3;37
CLIN6884;D;TIPO6;FUEL 1;Media;M;Otros;SOLTERO;M;Empresa;Vizcaya;SI;NO;NO;Medio;SI;Averia grave;NO;9725;18863;3;37
CLIN6885;D;TIPO6;FUEL 1;Media;M;Contado;CASADO;M;Empresa;Valencia;NO;NO;NO;Medio-Bajo;SI;No;NO;2918;17170;1;50
CLIN6886;D;TIPO8;FUEL 1;Alta;A;Otros;CASADO;M;Empresa;Barcelona;NO;NO;SI;Medio;SI;Averia muy grave;SI;2868;17930;1;42
CLIN6887;D;TIPO8;FUEL 1;Media;M;Financiera Marca;CASADO;F;Empresa;Madrid;NO;NO;NO;Medio;SI;Averia muy grave;SI;3839;14945;2;55
CLIN6888;D;TIPO8;FUEL 1;Media;M;Contado;SOLTERO;F;Empresa;Orense;NO;SI;NO;NA;SI;Averia muy grave;SI;2623;14780;3;57
CLIN6889;D;TIPO8;FUEL 1;Media;M;Otros;CASADO;M;Empresa;Valladolid;NO;NO;NO;Medio;SI;No;NO;2868;18601;4;41
CLIN6890;D;TIPO6;FUEL 2;Media;M;Otros;CASADO;M;Empresa;Asturias;NO;NO;NO;Medio;SI;Averia muy grave;SI;3033;14832;4;59
CLIN6891;D;TIPO6;FUEL 2;Media;M;Otros;CASADO;M;Empresa;Barcelona;SI;NO;NO;Alto;SI;Averia grave;NO;2981;15515;4;46
CLIN6892;D;TIPO6;FUEL 2;Media;M;Financiera Marca;CASADO;M;Empresa;Madrid;NO;NO;NO;Medio;SI;Averia muy grave;SI;3942;29636;3;52
CLIN6893;D;TIPO6;FUEL 2;Media;M;Otros;SOLTERO;M;Empresa;Pontevedra;SI;NO;NO;NA;SI;Averia muy grave;SI;1278;23334;4;44
CLIN6894;D;TIPO6;FUEL 2;Media;M;Financiera Marca;CASADO;F;Empresa;Pontevedra;NO;NO;NO;NA;SI;Averia muy grave;SI;4249;11323;2;40
CLIN6895;D;TIPO6;FUEL 2;Media;M;Contado;CASADO;M;Empresa;Madrid;NO;SI;NO;NA;SI;Averia grave;SI;2981;29099;4;44
CLIN6896;D;TIPO6;FUEL 2;Media;M;Financiera Marca;CASADO;M;Empresa;Sevilla;SI;NO;NO;Medio;SI;Averia muy grave;SI;4249;20029;2;54
CLIN6897;D;TIPO6;FUEL 2;Media;M;Contado;SOLTERO;F;Funcionario;Cordoba;NO;SI;NO;Alto;SI;Averia leve;NO;2981;8876;4;44
CLIN6898;D;TIPO6;FUEL 2;Media;M;Financiera Marca;CASADO;M;Empresa;Valencia;SI;NO;NO;Medio;SI;Averia leve;NO;8770;11963;2;51
CLIN6899;D;TIPO6;FUEL 2;Media;M;Financiera Marca;CASADO;M;Empresa;Leon;SI;NO;NO;Medio-Bajo;SI;Averia muy grave;SI;3986;15067;3;45
CLIN6900;D;TIPO6;FUEL 2;Media;M;Financiera Banco;CASADO;M;Empresa;Barcelona;SI;NO;NO;Medio;SI;Averia muy grave;SI;5401;19213;2;39
CLIN6901;D;TIPO6;FUEL 2;Media;M;Contado;CASADO;M;Empresa;Santa Cruz de Tenerife;NO;NO;SI;Otros;SI;Averia grave;NO;3033;23371;2;59
CLIN6902;D;TIPO6;FUEL 2;Media;M;Contado;CASADO;M;Empresa;Toledo;SI;NO;NO;Alto;SI;Averia muy grave;SI;5478;41851;1;41
CLIN6903;D;TIPO6;FUEL 2;Media;M;Financiera Marca;SOLTERO;M;Empresa;Guadalajara;SI;NO;SI;Medio;SI;Averia muy grave;SI;3986;18917;1;42
CLIN6904;D;TIPO6;FUEL 2;Media;M;Financiera Marca;CASADO;M;Empresa;Lerida;SI;NO;SI;Alto;SI;Averia leve;NO;6953;16425;2;27
CLIN6905;D;TIPO6;FUEL 2;Media;M;Financiera Marca;SOLTERO;M;Empresa;Huesca;SI;NO;SI;Alto;NO DATA;Averia grave;NO;3986;0;1;47
CLIN6906;D;TIPO6;FUEL 2;Media;M;Otros;SOLTERO;F;Empresa;Badajoz;NO;NO;NO;Alto;SI;No;NO;2981;25348;1;46
CLIN6907;D;TIPO6;FUEL 2;Media;M;Otros;CASADO;M;Empresa;Murcia;SI;NO;NO;Medio-Bajo;NO DATA;No;NO;6328;0;2;53
CLIN6908;D;TIPO6;FUEL 2;Media;M;Financiera Marca;CASADO;M;Funcionario;Cantabria;NO;NO;SI;NA;NO DATA;No;SI;5498;0;1;33
CLIN6909;D;TIPO6;FUEL 2;Media;A;Otros;CASADO;M;Empresa;Madrid;NO;SI;NO;Medio;SI;Averia muy grave;SI;2918;23443;3;37
CLIN6910;D;TIPO6;FUEL 2;Media;A;Otros;CASADO;M;Empresa;Salamanca;SI;NO;NO;Medio;SI;Averia muy grave;SI;4377;38227;0;60
CLIN6911;D;TIPO6;FUEL 2;Media;A;Contado;CASADO;M;Empresa;Madrid;NO;NO;NO;Medio;SI;No;SI;2868;24636;2;59
CLIN6912;D;TIPO6;FUEL 2;Media;A;Financiera Marca;CASADO;M;Empresa;Zaragoza;SI;NO;NO;Medio;NO DATA;No;NO;6148;0;1;30
CLIN6913;D;TIPO6;FUEL 2;Alta;M;Financiera Marca;CASADO;M;Empresa;Guipuzcua;NO;NO;SI;Medio;NO DATA;Averia leve;NO;5498;0;1;25
CLIN6914;D;TIPO6;FUEL 2;Alta;M;Financiera Marca;CASADO;M;Empresa;Zaragoza;SI;NO;NO;Alto;NO DATA;Averia grave;NO;7392;0;2;60
CLIN6915;D;TIPO6;FUEL 1;Alta;A;Contado;CASADO;M;Empresa;Cadiz;SI;NO;NO;NA;SI;No;NO;1720;4763;2;61
CLIN6916;D;TIPO6;FUEL 1;Alta;A;Contado;CASADO;M;Empresa;Barcelona;SI;NO;NO;NA;NO DATA;No;NO;2868;0;1;30
CLIN6917;D;TIPO6;FUEL 1;Alta;A;Financiera Marca;CASADO;M;Empresa;Sevilla;NO;NO;SI;NA;NO DATA;No;NO;5321;0;1;52
CLIN6918;D;TIPO6;FUEL 1;Media;M;Contado;CASADO;M;Empresa;Ciudad Real;NO;NO;NO;Medio;NO DATA;Averia muy grave;SI;3280;0;1;45
CLIN6919;D;TIPO6;FUEL 1;Media;M;Otros;CASADO;M;Empresa;Vizcaya;NO;NO;NO;NA;NO DATA;No;NO;4507;0;1;71
CLIN6920;D;TIPO8;FUEL 2;Media;M;Financiera Marca;CASADO;M;Empresa;Cordoba;NO;NO;NO;Medio-Bajo;SI;Averia grave;NO;5914;34585;1;45
CLIN6921;D;TIPO8;FUEL 2;Media;M;Financiera Marca;SOLTERO;M;Empresa;Navarra;SI;NO;NO;Medio-Bajo;SI;Averia grave;NO;4249;19479;2;38
CLIN6922;D;TIPO8;FUEL 2;Media;M;Otros;CASADO;M;Empresa;Leon;NO;SI;NO;NA;SI;Averia grave;SI;3033;16828;2;42
CLIN6923;D;TIPO8;FUEL 2;Media;M;Otros;SOLTERO;M;Empresa;Leon;NO;NO;NO;Medio-Bajo;SI;Averia leve;NO;7564;36984;4;48
