CODE,PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia_,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,PROVINCIA,Campanna1,Campanna2,Campanna3,Zona _Renta,REV_Garantia,Averia_grave,QUEJA_CAC,EDAD_COCHE,COSTE_VENTA,km_anno,Mas_1_coche,Edad Cliente
3001,0,0,0,1,1,0,0,0,1,27,0,0,0,0,1,3,0,2.42,1376,8616,0,37
3112,0,0,0,1,1,1,0,1,1,8,0,0,0,2,0,3,0,1.93,1590,0,0,18
3223,0,0,0,1,1,1,0,0,1,8,0,0,0,1,0,1,0,1.95,1590,0,0,31
3335,0,0,0,1,1,3,0,1,1,41,0,0,0,1,0,1,0,2.12,1818,0,0,23
3446,0,0,0,1,1,0,0,0,1,7,0,0,0,0,1,2,1,2.43,920,15224,0,57
3557,0,0,0,1,1,2,4,0,1,8,0,0,1,1,0,1,0,1.59,2169,0,0,26
3668,0,0,0,1,1,0,0,1,1,41,1,0,0,2,1,3,0,2.37,2870,10237,1,50
3779,0,0,0,1,1,3,0,0,1,27,0,0,1,2,0,0,0,1.8,2385,0,1,29
3890,0,0,0,1,1,0,0,0,2,19,1,0,0,0,0,3,0,2.43,1376,0,0,18
4001,0,0,0,1,1,2,0,1,1,8,1,0,0,0,1,3,0,2.35,2015,13606,1,60
4112,0,0,0,1,1,0,0,1,1,13,0,0,0,0,0,2,1,2.24,1376,0,1,27
4223,0,0,0,1,1,0,4,0,1,9,1,0,0,3,1,2,1,2.44,2892,16300,0,41
4334,0,0,0,1,1,3,3,1,1,45,0,0,0,0,1,2,1,2.37,920,22763,0,46
4446,0,0,0,1,1,0,0,0,1,32,0,0,0,0,1,3,0,2.46,920,3326,1,41
4557,0,0,0,1,1,2,4,0,1,28,1,0,0,3,0,0,0,2.24,2002,0,0,29
4668,0,0,0,1,1,2,0,1,1,19,1,0,0,0,0,3,0,2.22,1560,0,0,19
4779,0,0,0,1,1,0,0,0,1,28,0,0,0,2,1,2,1,2.35,1818,9544,0,49
